	OM1	OM2	OM3	OM4	OM5	OM6	YM1	YM2	YM4	YM5	YM6	YM7
ENSMUSG00000104886	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000056394	20.11	22.82	22.63	14.21	13.05	14.57	18.51	35.67	95.92	61.50	3.19	43.93
ENSMUSG00000100520	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031563	14.59	6.16	7.82	12.13	8.39	6.84	29.74	103.60	202.93	111.91	208.95	68.26
ENSMUSG00000062458	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101053	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000026234	121.97	76.87	40.18	105.41	91.93	30.79	29.95	116.46	292.53	147.50	31.69	132.24
ENSMUSG00000082171	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077574	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000039242	11.89	7.64	10.58	11.35	5.69	3.31	17.29	38.94	11.91	21.89	25.24	21.10
ENSMUSG00000083407	0.55	0.00	0.00	1.00	0.00	2.41	0.00	4.66	2.86	2.53	25.80	14.32
ENSMUSG00000086372	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101463	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000081413	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000051985	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000038143	0.00	0.25	0.00	0.29	0.09	0.00	0.88	1.16	1.14	1.11	0.40	0.70
ENSMUSG00000083929	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.05	0.00	0.00	2.61	0.00
ENSMUSG00000079269	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000092111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098316	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000076755	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000062278	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022594	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000060469	0.00	0.00	0.00	0.00	1.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000084238	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037126	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000100805	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104521	0.00	0.00	0.00	4.41	0.00	0.00	15.67	0.00	0.00	0.00	0.00	14.42
ENSMUSG00000081205	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000090602	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	4.85	0.00
ENSMUSG00000080222	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000079186	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000063535	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000091625	309.79	324.65	115.20	331.20	352.67	70.99	0.00	89.76	98.73	108.10	0.00	105.79
ENSMUSG00000070025	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029918	646.34	531.45	151.31	413.79	413.05	162.01	103.74	146.15	202.26	280.87	30.45	185.61
ENSMUSG00000099596	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000019039	14.40	5.23	37.75	9.65	16.02	29.47	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024384	2.29	3.71	3.11	2.78	3.20	1.53	8.11	4.71	10.25	4.45	7.67	5.13
ENSMUSG00000101822	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000086800	0.23	0.28	0.00	0.40	0.99	0.00	0.33	0.00	0.28	0.91	0.00	0.66
ENSMUSG00000105830	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000062282	0.10	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.71	0.00	0.00	0.00
ENSMUSG00000105576	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000065105	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024245	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000004891	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00
ENSMUSG00000104556	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.74	0.00	0.00
ENSMUSG00000081431	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000034066	0.00	0.00	0.36	0.00	0.34	0.00	0.00	0.92	1.39	1.19	0.00	1.50
ENSMUSG00000083093	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037151	0.00	0.07	1.64	0.47	1.87	3.32	0.00	1.31	0.00	0.47	0.71	0.43
ENSMUSG00000101444	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000074311	88.25	20.89	0.00	118.18	69.77	9.86	10.58	47.30	30.74	49.21	10.40	47.57
ENSMUSG00000094242	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095987	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098529	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025630	209.96	289.57	156.10	236.86	316.23	164.76	381.09	152.49	33.10	118.86	79.54	216.56
ENSMUSG00000089635	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000045248	1.75	6.20	2.50	11.25	5.58	0.00	0.29	26.30	43.42	16.99	0.00	12.70
ENSMUSG00000088674	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000097006	2.63	1.78	1.17	1.07	3.95	4.03	0.00	0.00	0.00	0.00	0.00	0.21
ENSMUSG00000022454	0.00	0.00	1.28	0.41	0.28	1.11	0.00	0.19	0.00	0.00	0.00	0.00
ENSMUSG00000077294	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000058692	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000021622	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000056696	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096027	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000057265	2.66	0.45	0.00	0.76	0.82	0.73	10.90	0.48	2.12	1.45	3.61	1.26
ENSMUSG00000020193	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05
ENSMUSG00000031093	0.00	0.24	0.00	0.43	0.06	0.00	0.00	2.99	0.92	1.59	11.46	1.83
ENSMUSG00000099421	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108740	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024936	0.00	0.00	0.00	0.00	1.80	0.00	0.00	0.00	3.14	0.00	0.00	0.21
ENSMUSG00000047963	55.71	107.65	10.87	114.44	110.22	23.87	135.36	216.95	115.51	157.86	60.84	190.60
ENSMUSG00000026315	0.00	0.73	0.00	1.42	1.12	0.00	3.92	2.46	1.99	1.50	0.00	0.74
ENSMUSG00000046991	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00
ENSMUSG00000104496	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101507	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024726	33.56	23.88	10.51	28.14	24.46	12.33	36.19	38.92	32.19	49.00	18.08	33.67
ENSMUSG00000100377	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000050619	4.23	2.68	5.62	0.65	4.82	0.00	6.38	2.97	0.93	1.67	9.95	3.58
ENSMUSG00000096173	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000020605	5.58	0.58	0.11	0.00	0.72	1.86	0.59	0.35	0.89	0.72	0.00	0.00
ENSMUSG00000029648	0.00	0.06	0.00	0.07	0.03	0.00	1.45	0.81	7.48	0.70	0.05	2.39
ENSMUSG00000104135	2.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000076241	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000101108	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000064800	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.92	0.00	0.00
ENSMUSG00000049230	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000044199	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099456	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000095096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000090534	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000075204	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000084689	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000046318	0.00	0.00	0.00	0.00	0.00	0.00	2.48	1.26	0.07	0.00	2.22	0.00
ENSMUSG00000091273	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	0.00	0.00
ENSMUSG00000028359	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000107941	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000026434	16.11	5.24	5.52	3.14	5.32	4.51	6.57	7.70	13.53	5.76	15.65	6.97
ENSMUSG00000027833	0.00	1.52	0.00	3.43	0.00	0.00	2.07	3.42	5.90	1.75	0.35	2.22
ENSMUSG00000064693	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000083207	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085238	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030703	0.00	2.11	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000015085	0.00	0.00	0.00	2.56	0.00	0.00	0.00	1.71	0.00	0.00	0.00	0.85
ENSMUSG00000039824	0.00	0.00	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105521	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000093834	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106712	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000071141	0.00	0.00	0.00	0.00	2.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000086762	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088766	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106208	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000108716	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000022129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104830	11.92	6.36	0.71	3.77	1.97	3.68	0.00	0.16	0.00	0.85	0.00	0.40
ENSMUSG00000014353	15.86	21.58	25.34	18.37	15.71	24.73	23.57	62.23	39.05	62.15	41.74	48.77
ENSMUSG00000104576	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000064105	3.18	1.60	4.74	2.94	3.70	0.00	0.00	4.88	2.49	0.95	0.00	2.83
ENSMUSG00000037171	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025245	22.84	38.44	11.93	74.39	42.77	15.45	89.42	44.54	35.23	34.08	43.38	21.50
ENSMUSG00000070644	3.92	9.03	14.88	0.00	3.91	35.67	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000076483	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025384	1.12	1.40	8.97	1.93	0.12	4.21	0.00	0.05	0.00	3.16	10.09	1.11
ENSMUSG00000042796	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000093627	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031428	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105556	0.00	0.00	0.00	0.00	0.15	0.08	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000039637	0.84	3.33	0.31	0.00	0.92	1.92	1.66	2.76	5.69	2.47	0.00	3.10
ENSMUSG00000106994	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000027811	4.91	3.42	6.57	0.00	4.21	4.78	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077409	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000087724	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000069310	0.00	2.38	9.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000005891	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047109	0.00	0.00	0.00	2.72	0.56	0.00	0.00	0.00	1.01	0.00	0.00	1.16
ENSMUSG00000078091	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106427	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000074579	3.50	1.76	2.84	0.97	1.93	1.94	4.41	1.27	2.38	1.52	1.01	3.25
ENSMUSG00000095242	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098340	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000064762	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000026797	0.34	0.10	2.82	1.74	1.11	2.70	5.12	1.39	1.85	2.85	10.38	2.12
ENSMUSG00000094987	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000100100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000001472	28.83	34.39	92.03	24.86	28.10	63.70	20.09	22.87	76.10	34.37	14.80	19.86
ENSMUSG00000063089	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000062892	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000044248	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000012483	225.93	521.19	96.92	444.85	450.45	43.77	44.54	245.88	108.28	243.31	12.39	320.56
ENSMUSG00000015112	3.17	24.87	13.55	18.81	19.73	5.42	18.39	21.27	21.56	14.45	12.86	20.00
ENSMUSG00000022474	17.86	16.13	67.62	5.49	6.53	9.83	28.31	5.33	6.81	11.28	16.43	6.80
ENSMUSG00000028533	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025936	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.00
ENSMUSG00000083428	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000024771	0.00	0.00	0.00	0.00	1.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000088654	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000107406	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	1.86	0.00
ENSMUSG00000107611	0.00	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000086693	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000025726	0.00	2.33	0.00	5.30	3.27	0.00	0.00	0.96	0.79	0.65	0.00	1.49
ENSMUSG00000107633	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00
ENSMUSG00000021368	4.46	11.78	23.67	2.43	10.97	8.31	0.00	1.85	0.34	3.63	0.00	2.45
ENSMUSG00000099476	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000044957	0.13	0.00	0.28	0.11	0.25	0.08	0.36	0.00	0.68	0.00	0.00	0.00
ENSMUSG00000031207	20.31	3.13	14.15	1.66	8.29	13.14	0.00	0.13	0.19	0.86	0.00	0.40
ENSMUSG00000105496	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000061666	257.22	337.05	40.68	452.19	366.29	23.91	20.62	427.36	433.35	507.64	5.90	452.82
ENSMUSG00000094096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000063176	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000100357	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000059213	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000078584	18.17	10.91	33.75	4.94	15.95	47.35	4.40	2.18	6.30	5.42	0.20	3.21
ENSMUSG00000078719	3.11	8.62	0.00	4.83	4.93	0.00	0.00	1.13	0.00	6.24	0.00	0.00
ENSMUSG00000096153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029419	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085689	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000086105	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000103505	0.00	0.10	0.09	0.00	0.00	0.70	0.00	0.00	0.14	0.00	0.00	0.00
ENSMUSG00000087386	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000098194	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105135	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000032330	387.74	441.94	327.83	312.19	483.31	265.42	85.71	78.78	50.02	130.97	5.46	122.13
ENSMUSG00000065800	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000090777	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000076441	0.00	0.00	0.43	1.28	0.00	0.00	0.00	0.00	0.00	2.13	0.00	1.13
ENSMUSG00000099256	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000026303	0.00	0.08	0.00	0.00	0.00	0.04	0.00	0.00	0.16	0.00	0.00	0.05
ENSMUSG00000033405	0.00	0.15	0.86	0.00	0.83	0.00	0.26	0.00	0.00	1.08	0.00	0.17
ENSMUSG00000028347	0.00	2.13	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000100767	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000056116	25.21	10.36	35.61	1.88	9.30	38.75	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000080717	42.39	18.76	20.79	7.07	1.68	0.00	0.00	19.51	0.32	0.00	0.00	0.00
ENSMUSG00000094637	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000096790	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000021134	71.61	139.81	129.45	116.30	107.52	160.61	190.17	72.38	26.80	57.93	122.66	74.68
ENSMUSG00000035596	6.00	5.76	17.17	15.77	9.08	15.55	0.00	12.89	11.89	17.94	0.00	12.70
ENSMUSG00000089416	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000033213	2.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030034	10.72	13.83	18.10	19.71	12.31	3.89	0.32	7.32	9.81	5.39	0.00	3.42
ENSMUSG00000089601	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104296	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000043602	0.79	4.97	0.00	12.01	7.99	3.52	14.67	2.06	5.67	8.84	5.71	4.84
ENSMUSG00000021758	0.00	3.46	0.00	6.82	5.71	0.00	1.08	3.89	2.72	4.23	1.67	4.55
ENSMUSG00000065388	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000103820	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000073000	0.00	0.00	2.17	0.37	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000104101	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	1.84	0.00	0.00	0.00
ENSMUSG00000068270	0.00	0.11	0.20	0.34	1.95	1.54	10.11	2.24	2.33	2.65	12.25	3.98
ENSMUSG00000065372	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000107983	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000057465	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000005481	66.82	252.13	121.23	241.96	175.00	82.92	7.89	127.98	42.27	180.81	0.21	201.03
ENSMUSG00000094824	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000105042	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000099221	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000050199	154.56	3.98	2.79	1.16	4.67	15.50	0.00	1.36	1.93	1.66	0.00	0.21
ENSMUSG00000094442	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000085939	0.72	1.49	2.17	0.00	1.48	1.47	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000006313	0.00	0.00	0.00	0.58	0.50	0.00	1.15	0.00	0.00	0.00	0.00	0.58
ENSMUSG00000064352	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000009927	355.35	255.49	410.81	77.09	164.55	354.18	1.42	1.79	6.26	6.59	1.27	7.09
ENSMUSG00000020770	6.08	2.33	5.34	7.48	6.17	1.74	7.40	14.64	17.21	14.47	1.30	13.06
ENSMUSG00000066438	0.35	1.48	2.08	1.08	0.00	1.87	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000076893	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000077494	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000106909	0.00	0.62	0.00	0.00	0.00	0.00	0.00	2.62	0.00	2.59	0.00	2.53
ENSMUSG00000075148	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000041483	24.36	4.44	7.41	1.59	5.83	11.45	6.03	0.90	1.76	1.91	2.76	1.35
